astecid,date,cusip,isin,tradingsymbol,utilizationpercentunits,availableunits,availablemarketvalueusd
100258,2014-11-11,037833100,US0378331005,AAPL,0.52,519879568.0,56656863038.9152
100258,2014-11-12,037833100,US0378331005,AAPL,0.04,520392572.0,57035853373.4852
100258,2014-11-13,037833100,US0378331005,AAPL,0.06,522164585.0,58155042479.8664
100258,2014-11-14,037833100,US0378331005,AAPL,0.06,520890209.0,58647284540.6625
100258,2014-11-17,037833100,US0378331005,AAPL,0.12,521044875.0,59426435659.0936
100258,2014-11-18,037833100,US0378331005,AAPL,0.08,565875980.0,64646458837.6048
100258,2014-11-19,037833100,US0378331005,AAPL,0.09,566596927.0,65146592420.2414
100258,2014-11-20,037833100,US0378331005,AAPL,0.1,565246190.0,64915044053.998
100258,2014-11-21,037833100,US0378331005,AAPL,0.1,565882920.0,65676161311.142
100258,2014-11-24,037833100,US0378331005,AAPL,0.14,565611042.0,66033341978.0368
100258,2014-11-25,037833100,US0378331005,AAPL,0.19,564684980.0,66810422773.869
100258,2014-11-26,037833100,US0378331005,AAPL,0.36,565025450.0,66595317409.8415
100258,2014-11-27,037833100,US0378331005,AAPL,0.36,565296608.0,67020062076.0344
100258,2014-11-28,037833100,US0378331005,AAPL,0.33,564427719.0,67161177898.8772
100258,2014-12-01,037833100,US0378331005,AAPL,0.31,564864842.0,66829651436.8348
100258,2014-12-02,037833100,US0378331005,AAPL,0.31,567602015.0,65427029085.9008
100258,2014-12-03,037833100,US0378331005,AAPL,0.32,568584855.0,65277544853.1376
100258,2014-12-04,037833100,US0378331005,AAPL,0.37,569395660.0,65925373097.0692
100258,2014-12-05,037833100,US0378331005,AAPL,0.37,568697802.0,65657476029.3634
100258,2014-12-08,037833100,US0378331005,AAPL,0.44,555524532.0,63703980288.3304
100258,2014-12-09,037833100,US0378331005,AAPL,0.35,568718486.0,64154595759.1801
100258,2014-12-10,037833100,US0378331005,AAPL,0.27,564534492.0,64194328386.8654
100258,2014-12-11,037833100,US0378331005,AAPL,0.03,565145709.0,63323803576.9176
100258,2014-12-12,037833100,US0378331005,AAPL,0.03,564106176.0,62823859479.7232
100258,2014-12-15,037833100,US0378331005,AAPL,0.02,563903970.0,61831678636.008
100258,2014-12-16,037833100,US0378331005,AAPL,0.18,563282334.0,60904246271.1552
100258,2014-12-17,037833100,US0378331005,AAPL,0.1,563826168.0,60445269371.1427
100258,2014-12-18,037833100,US0378331005,AAPL,0.19,564448781.0,61903673270.5516
100258,2014-12-19,037833100,US0378331005,AAPL,0.12,559173185.0,62710206083.4368
100258,2014-12-22,037833100,US0378331005,AAPL,0.06,548533185.0,61428873369.8504
100258,2014-12-23,037833100,US0378331005,AAPL,0.0,547900121.0,61809284595.2144
100258,2014-12-24,037833100,US0378331005,AAPL,0.03,548124277.0,61660610700.8085
100258,2014-12-25,037833100,US0378331005,AAPL,0.03,547536447.0,61519366567.0829
100258,2014-12-26,037833100,US0378331005,AAPL,0.05,548052751.0,61537187864.3029
100258,2014-12-29,037833100,US0378331005,AAPL,0.04,530933359.0,60443026127.9632
100258,2014-12-30,037833100,US0378331005,AAPL,0.04,529352017.0,60195812692.404
100258,2014-12-31,037833100,US0378331005,AAPL,0.03,529060203.0,59765126730.824
100258,2016-01-01,037833100,US0378331005,AAPL,0.14,490639768.0,52173071067.2098
100258,2016-01-04,037833100,US0378331005,AAPL,0.16,490412425.0,51637080943.8066
100258,2016-01-05,037833100,US0378331005,AAPL,0.14,490454486.0,51498635271.0528
100258,2016-01-06,037833100,US0378331005,AAPL,0.17,490782699.0,50373335885.2332
