astecid,date,cusip,isin,tradingsymbol,contracttypeid,collateraltypeid,collateralcurrencyid,lowerbound,upperbound,units,newunits
100258,2013-11-13,037833100,US0378331005,AAPL,O,C,USD,-0.5,-0.4,500.0,0.0
100258,2013-11-14,037833100,US0378331005,AAPL,O,A,AAA,-0.5,-0.4,763071.0,350771.0
100258,2013-11-15,037833100,US0378331005,AAPL,O,C,USD,0.6,0.7,72800.0,0.0
100258,2013-11-18,037833100,US0378331005,AAPL,O,A,AAA,-0.6,-0.5,72800.0,0.0
100258,2013-11-19,037833100,US0378331005,AAPL,O,C,USD,-0.3,-0.2,29000.0,29000.0
100258,2013-11-20,037833100,US0378331005,AAPL,O,A,AAA,0.4,0.5,112000.0,0.0
100258,2013-11-21,037833100,US0378331005,AAPL,O,C,USD,0.3,0.4,924345.0,294481.0
100258,2013-11-22,037833100,US0378331005,AAPL,O,A,AAA,-0.4,-0.3,1787871.0,769971.0
100258,2013-11-25,037833100,US0378331005,AAPL,O,N,XXX,0.4,0.45,112000.0,0.0
100258,2013-11-26,037833100,US0378331005,AAPL,O,C,USD,0.4,0.5,2173371.0,195000.0
100258,2013-11-27,037833100,US0378331005,AAPL,O,A,AAA,-0.6,-0.5,83400.0,10600.0
100258,2013-11-28,037833100,US0378331005,AAPL,O,A,AAA,-0.7,-0.6,56300.0,0.0
100258,2013-11-29,037833100,US0378331005,AAPL,O,C,USD,0.1,0.2,46700.0,200.0
100258,2013-12-02,037833100,US0378331005,AAPL,O,C,USD,1.0,1.1,4100.0,4100.0
100258,2013-12-03,037833100,US0378331005,AAPL,O,C,USD,0.6,0.7,72800.0,0.0
100258,2013-12-04,037833100,US0378331005,AAPL,O,C,USD,0.0,0.1,44800.0,14000.0
100258,2013-12-05,037833100,US0378331005,AAPL,O,N,XXX,0.4,0.45,15000.0,0.0
100258,2013-12-06,037833100,US0378331005,AAPL,O,C,USD,0.7,0.8,80000.0,0.0
100258,2013-12-09,037833100,US0378331005,AAPL,O,C,USD,0.4,0.5,1741200.0,0.0
100258,2013-12-10,037833100,US0378331005,AAPL,O,C,USD,0.6,0.7,80000.0,0.0
100258,2013-12-11,037833100,US0378331005,AAPL,O,C,USD,0.4,0.5,1551800.0,0.0
100258,2013-12-12,037833100,US0378331005,AAPL,O,C,USD,0.7,0.8,28900.0,0.0
100258,2013-12-13,037833100,US0378331005,AAPL,O,C,USD,0.7,0.8,28900.0,0.0
100258,2013-12-16,037833100,US0378331005,AAPL,O,C,USD,0.1,0.2,33500.0,7300.0
100258,2013-12-17,037833100,US0378331005,AAPL,O,C,USD,0.3,0.4,213097.0,2500.0
100258,2013-12-18,037833100,US0378331005,AAPL,O,A,AAA,-0.6,-0.5,80000.0,0.0
100258,2013-12-19,037833100,US0378331005,AAPL,O,C,USD,0.3,0.4,181797.0,0.0
100258,2013-12-20,037833100,US0378331005,AAPL,O,N,XXX,0.4,0.45,38000.0,0.0
100258,2013-12-23,037833100,US0378331005,AAPL,O,C,USD,0.2,0.3,141200.0,1600.0
100258,2013-12-24,037833100,US0378331005,AAPL,O,C,USD,0.4,0.5,890400.0,2300.0
100258,2013-12-25,037833100,US0378331005,AAPL,O,A,AAA,-0.1,0.0,200.0,200.0
100258,2013-12-26,037833100,US0378331005,AAPL,O,C,USD,0.8,0.9,179800.0,89800.0
100258,2013-12-27,037833100,US0378331005,AAPL,O,C,USD,0.2,0.3,150800.0,11200.0
100258,2013-12-30,037833100,US0378331005,AAPL,O,C,USD,0.8,0.9,367800.0,10000.0
100258,2013-12-31,037833100,US0378331005,AAPL,O,N,XXX,0.1,0.11,20.0,0.0
100258,2014-04-01,037833100,US0378331005,AAPL,O,C,USD,0.6,0.7,222600.0,0.0
100258,2014-04-02,037833100,US0378331005,AAPL,O,C,USD,-0.1,0.0,34060.0,23500.0
100258,2014-04-03,037833100,US0378331005,AAPL,O,A,AAA,-0.4,-0.3,1007100.0,522200.0
100258,2014-04-04,037833100,US0378331005,AAPL,O,N,XXX,0.1,0.15,34000.0,0.0
100258,2014-04-07,037833100,US0378331005,AAPL,O,C,USD,0.3,0.4,623500.0,80000.0
100258,2014-04-08,037833100,US0378331005,AAPL,O,C,USD,0.0,0.1,5000.0,0.0
100258,2014-04-09,037833100,US0378331005,AAPL,O,N,XXX,0.3,0.35,220000.0,10000.0
100258,2014-04-10,037833100,US0378331005,AAPL,O,A,AAA,0.2,0.3,16000.0,0.0
100258,2014-04-11,037833100,US0378331005,AAPL,O,C,USD,0.1,0.2,141900.0,85700.0
100258,2014-04-14,037833100,US0378331005,AAPL,O,C,USD,0.3,0.4,781000.0,0.0
100258,2014-04-15,037833100,US0378331005,AAPL,O,C,USD,0.2,0.3,429200.0,0.0
100258,2014-04-16,037833100,US0378331005,AAPL,O,C,USD,0.6,0.7,210900.0,0.0
100258,2014-04-17,037833100,US0378331005,AAPL,O,A,AAA,10.0,10.5,18300.0,0.0
100258,2014-04-18,037833100,US0378331005,AAPL,O,A,AAA,-0.5,0.0,2222100.0,427800.0
100258,2014-04-21,037833100,US0378331005,AAPL,O,C,USD,-0.1,0.0,114789.0,114789.0
100258,2014-04-22,037833100,US0378331005,AAPL,O,A,AAA,-0.5,0.0,2229400.0,144500.0
100258,2014-04-23,037833100,US0378331005,AAPL,O,A,AAA,-1.0,-0.5,237100.0,21000.0
100258,2014-04-24,037833100,US0378331005,AAPL,O,C,USD,0.2,0.3,417800.0,15400.0
100258,2014-04-25,037833100,US0378331005,AAPL,O,C,USD,0.3,0.4,1050600.0,0.0
100258,2014-04-28,037833100,US0378331005,AAPL,O,C,USD,-6.75,-6.5,100.0,100.0
100258,2014-04-29,037833100,US0378331005,AAPL,O,A,AAA,-0.75,-0.5,255900.0,0.0
100258,2014-04-30,037833100,US0378331005,AAPL,O,C,USD,0.5,0.6,540500.0,31000.0
100258,2014-05-01,037833100,US0378331005,AAPL,O,C,USD,0.5,0.6,529800.0,0.0
100258,2014-05-02,037833100,US0378331005,AAPL,O,A,AAA,5.25,5.5,100.0,100.0
100258,2014-05-05,037833100,US0378331005,AAPL,O,C,USD,0.25,0.5,1501900.0,108700.0
100258,2014-05-06,037833100,US0378331005,AAPL,O,A,AAA,-0.1,0.0,758500.0,14100.0
100258,2014-05-07,037833100,US0378331005,AAPL,O,C,USD,0.3,0.4,799400.0,49900.0
100258,2014-05-08,037833100,US0378331005,AAPL,O,C,USD,0.25,0.5,1365300.0,189800.0
100258,2014-05-09,037833100,US0378331005,AAPL,O,C,USD,0.25,0.5,1365500.0,484900.0
100258,2014-05-12,037833100,US0378331005,AAPL,O,C,USD,0.25,0.5,1267700.0,393000.0
100258,2014-05-13,037833100,US0378331005,AAPL,O,C,USD,0.4,0.5,71400.0,2300.0
100258,2014-05-14,037833100,US0378331005,AAPL,O,N,XXX,0.1,0.12,12500.0,0.0
100258,2014-05-15,037833100,US0378331005,AAPL,O,A,AAA,-0.5,-0.25,457600.0,228600.0
100258,2014-05-16,037833100,US0378331005,AAPL,O,C,USD,0.75,1.0,35000.0,35000.0
100258,2014-05-19,037833100,US0378331005,AAPL,O,C,USD,0.6,0.7,228200.0,0.0
100258,2014-05-20,037833100,US0378331005,AAPL,O,C,USD,0.6,0.7,228200.0,0.0
100258,2014-05-21,037833100,US0378331005,AAPL,O,C,USD,0.1,0.2,647500.0,26300.0
100258,2014-05-22,037833100,US0378331005,AAPL,O,A,AAA,0.1,0.2,169800.0,152800.0
100258,2014-05-23,037833100,US0378331005,AAPL,O,A,AAA,-0.6,-0.5,228200.0,0.0
100258,2014-05-26,037833100,US0378331005,AAPL,O,A,AAA,0.3,0.4,800.0,800.0
100258,2014-05-27,037833100,US0378331005,AAPL,O,A,AAA,0.1,0.2,546500.0,529700.0
100258,2014-05-28,037833100,US0378331005,AAPL,O,A,AAA,0.1,0.2,452400.0,8000.0
100258,2014-05-29,037833100,US0378331005,AAPL,O,C,USD,0.2,0.3,364775.0,0.0
100258,2014-05-30,037833100,US0378331005,AAPL,O,C,USD,0.1,0.2,434550.0,200.0
100258,2014-06-02,037833100,US0378331005,AAPL,O,A,AAA,0.0,0.1,134900.0,129200.0
100258,2014-06-03,037833100,US0378331005,AAPL,O,A,AAA,-0.6,-0.5,222200.0,0.0
100258,2014-06-04,037833100,US0378331005,AAPL,O,A,AAA,0.1,0.2,901500.0,722100.0
100258,2014-06-05,037833100,US0378331005,AAPL,O,C,USD,0.0,0.1,580900.0,60100.0
100258,2014-06-06,037833100,US0378331005,AAPL,O,A,AAA,0.6,0.7,39600.0,0.0
100258,2014-06-09,037833100,US0378331005,AAPL,O,A,AAA,-0.2,-0.1,412720.0,0.0
100258,2014-06-10,037833100,US0378331005,AAPL,O,N,XXX,0.6,0.65,39600.0,0.0
100258,2014-06-11,037833100,US0378331005,AAPL,O,A,AAA,-1.0,-0.9,24500.0,24500.0
100258,2014-06-12,037833100,US0378331005,AAPL,O,A,AAA,-0.1,0.0,924800.0,529160.0
100258,2014-06-13,037833100,US0378331005,AAPL,O,A,AAA,-0.6,-0.5,1547000.0,0.0
100258,2014-06-16,037833100,US0378331005,AAPL,O,A,AAA,-0.75,-0.5,1568300.0,21300.0
100258,2014-06-17,037833100,US0378331005,AAPL,O,N,XXX,0.45,0.5,87600.0,0.0
100258,2014-06-18,037833100,US0378331005,AAPL,O,C,USD,0.75,1.0,320500.0,75500.0
100258,2014-06-19,037833100,US0378331005,AAPL,O,A,AAA,-0.8,-0.7,245000.0,0.0
100258,2014-06-20,037833100,US0378331005,AAPL,O,C,USD,0.0,0.1,520300.0,273700.0
100258,2014-06-23,037833100,US0378331005,AAPL,O,C,USD,0.5,0.6,1677100.0,2300.0
100258,2014-06-24,037833100,US0378331005,AAPL,O,A,AAA,-0.3,-0.2,5714000.0,0.0
100258,2014-06-25,037833100,US0378331005,AAPL,O,A,AAA,-1.0,-0.9,100.0,100.0
100258,2014-06-26,037833100,US0378331005,AAPL,O,C,USD,0.7,0.8,77800.0,0.0
100258,2014-06-27,037833100,US0378331005,AAPL,O,A,AAA,-0.4,-0.3,1519600.0,359000.0
100258,2014-06-30,037833100,US0378331005,AAPL,O,A,AAA,-0.6,-0.5,4025400.0,0.0
100258,2014-01-28,037833100,US0378331005,AAPL,O,C,USD,1.2,1.3,1600.0,1600.0
100258,2014-01-29,037833100,US0378331005,AAPL,O,A,AAA,0.1,0.2,59900.0,0.0
100258,2014-01-30,037833100,US0378331005,AAPL,O,C,USD,0.1,0.2,17700.0,0.0
100258,2014-01-31,037833100,US0378331005,AAPL,O,A,AAA,-0.2,-0.1,325500.0,108600.0
100258,2014-02-03,037833100,US0378331005,AAPL,O,C,USD,0.4,0.5,2002000.0,79000.0
100258,2014-02-04,037833100,US0378331005,AAPL,O,C,USD,0.1,0.2,36500.0,14400.0
100258,2014-02-05,037833100,US0378331005,AAPL,O,C,USD,0.4,0.5,1114800.0,0.0
100258,2014-02-06,037833100,US0378331005,AAPL,O,C,USD,0.4,0.5,1011100.0,126700.0
100258,2014-02-07,037833100,US0378331005,AAPL,O,A,AAA,-0.4,-0.3,1033200.0,115500.0
100258,2014-02-10,037833100,US0378331005,AAPL,O,C,USD,0.0,0.1,4515000.0,694300.0
100258,2014-02-11,037833100,US0378331005,AAPL,O,C,USD,0.5,0.6,132600.0,20700.0
100258,2014-02-12,037833100,US0378331005,AAPL,O,C,USD,-0.1,0.0,2647085.0,656801.0
100258,2014-02-13,037833100,US0378331005,AAPL,O,C,USD,0.5,0.75,173500.0,45800.0
100258,2014-02-14,037833100,US0378331005,AAPL,O,N,XXX,0.3,0.35,154000.0,23000.0
100258,2014-01-01,037833100,US0378331005,AAPL,O,C,USD,0.5,0.75,1255900.0,9800.0
100258,2014-01-02,037833100,US0378331005,AAPL,O,A,AAA,-0.8,-0.7,89800.0,0.0
100258,2014-01-03,037833100,US0378331005,AAPL,O,C,USD,0.8,0.9,128800.0,0.0
100258,2014-01-06,037833100,US0378331005,AAPL,O,C,USD,0.6,0.7,173900.0,0.0
100258,2014-01-07,037833100,US0378331005,AAPL,O,A,AAA,-0.4,-0.3,1736100.0,322100.0
100258,2014-01-08,037833100,US0378331005,AAPL,O,C,USD,0.6,0.7,82600.0,0.0
100258,2014-01-09,037833100,US0378331005,AAPL,O,N,XXX,0.1,0.2,205020.0,205000.0
100258,2014-01-10,037833100,US0378331005,AAPL,O,N,XXX,2.0,2.1,48.0,0.0
100258,2014-01-13,037833100,US0378331005,AAPL,O,A,AAA,-1.0,-0.75,1100.0,800.0
100258,2014-01-14,037833100,US0378331005,AAPL,O,A,AAA,-0.5,-0.25,2825900.0,1500.0
100258,2014-01-15,037833100,US0378331005,AAPL,O,C,USD,0.0,0.1,258600.0,600.0
100258,2014-01-16,037833100,US0378331005,AAPL,O,C,USD,0.75,1.0,199000.0,0.0
100258,2014-01-17,037833100,US0378331005,AAPL,O,C,USD,0.7,0.8,199000.0,0.0
100258,2014-01-20,037833100,US0378331005,AAPL,O,A,AAA,-0.4,-0.3,1235500.0,78000.0
